PRODUCT_SHAPE_MOTIFF_CATEGORY,PRODUCT_SHAPE_MOTIFF_SUBCATEGORY
Sports,Aerobics
Sports,Airsoft
Sports,Archery
Sports,Baseball
Sports,Basketball
Sports,Billiards
Sports,Boating
Sports,Canoeing
Sports,Kayaking
Sports,Sailing
Sports,Bowling
Sports,Boxing
Sports,Camping
Sports,Cheerleading
Sports,Climbing
Sports,Ice-Climbing
Sports,Mountain-Climbing
Sports,Rock-Climbing
Sports,Cricket
Sports,Curling
Sports,Cycling
Sports,Dart-Games
Sports,Disc-Sports
Sports,Equestrian
Sports,Exercise-And-Fitness
Sports,Running
Sports,Strength-Training
Sports,Walking
Sports,Yoga
Sports,Field-Hockey
Sports,Fishing
Sports,Fly-Fishing
Sports,Ice-Fishing
Sports,Football
Sports,Golf
Sports,Gymnastics
Sports,Hiking
Sports,Hockey
Sports,Hunting-And-Shooting
Sports,Ice-Skating
Sports,Inline-Skating
Sports,Lacrosse
Sports,Lawn-Games
Sports,Bocce
Sports,Croquet
Sports,Horseshoes
Sports,Pickle-Ball
Sports,Tetherball
Sports,Martial-Arts
Sports,Hapkido
Sports,Judo
Sports,Karate
Sports,Kung-Fu
Sports,Moo-Duk-Kwan
Sports,Ninja
Sports,Tae-Kwon-Do
Sports,Tang-Soo-Do
Sports,Paintball
Sports,Racquetball
Sports,Roller-Skating
Sports,Rugby
Sports,Skateboarding
Sports,Soccer
Sports,Softball
Sports,Squash
Sports,Table-Games
Sports,Air-Hockey
Sports,Dome-Hockey
Sports,Foosball
Sports,Shuffleboard
Sports,Skee-Ball
Sports,Table-Tennis
Sports,Tennis
Sports,Track-And-Field
Sports,Volleyball
Sports,Water-Sports
Sports,Diving
Sports,Kitesurfing
Sports,Surfing
Sports,Swimming
Sports,Wakeboarding
Sports,Waterskiing
Sports,Windsurfing
Sports,Winter-Sports
Sports,Sledding
Sports,Snow-Skiing
Sports,Snowmobiling
Sports,Snowshoeing
Sports,Wrestling
Celestial Symbols,Moon
Celestial Symbols,Star
Celestial Symbols,Sun
Animals,Alligators
Animals,Bears
Animals,Birds
Animals,Bluebirds
Animals,Canaries
Animals,Doves
Animals,Ducks
Animals,Eagles
Animals,Finches
Animals,Flamingos
Animals,Hummingbirds
Animals,Owls
Animals,Parrots
Animals,Penguins
Animals,Purple-Martins
Animals,Storks
Animals,Swans
Animals,Wrens
Animals,Cattle
Animals,Dinosaurs
Animals,Dogs
Animals,Dolphins
Animals,Elephants
Animals,Fish
Animals,Foxes
Animals,Frogs
Animals,Giraffes
Animals,Horses
Animals,House-Cats
Animals,Insects
Animals,Bees
Animals,Beetles
Animals,Butterflies
Animals,Dragonflies
Animals,Ladybugs
Animals,Kangaroos
Animals,Leopards
Animals,Lions
Animals,Lizards
Animals,Mice
Animals,Monkeys
Animals,Panthers
Animals,Pigs
Animals,Rabbits
Animals,Sheep
Animals,Snails
Animals,Snakes
Animals,Spiders
Animals,Squirrels
Animals,Tigers
Animals,Turtles
Animals,Whales
Animals,Zebras
Animals,Animal
Love Symbols,Cupid
Love Symbols,Heart
Love Symbols,Lip
Love Symbols,Locket
Birthstones,April-Birthstones
Birthstones,August-Birthstones
Birthstones,December-Birthstones
Birthstones,February-Birthstones
Birthstones,January-Birthstones
Birthstones,July-Birthstones
Birthstones,June-Birthstones
Birthstones,March-Birthstones
Birthstones,May-Birthstones
Birthstones,November-Birthstones
Birthstones,October-Birthstones
Birthstones,September-Birthstones
Nautical,Anchors
Nautical,Boat
Nautical,Canoes
Nautical,Kayaks
Nautical,Rowboats
Nautical,Sailboats
Popular Characters,Cartoon
Popular Characters,Fictional
Popular Characters,Superheroes
Good Luck Symbols,Four Leaf Clovers
Good Luck Symbols,Horshoe 
Popular Symbols,Crosses
Popular Symbols,Crowns
Popular Symbols,Dollar
Popular Symbols,Eight-Balls
Popular Symbols,Skeletons
Popular Symbols,Skulls
Musical Symbols,Musical Note
Religious Symbols,Buddhist-Symbols
Religious Symbols,Christian-Symbols
Religious Symbols,Christian-Crosses
Religious Symbols,Christian-Fish
Religious Symbols,Crucifixes
Religious Symbols,Jesus-Depictions
Religious Symbols,Nativity-Theme
Religious Symbols,Saint-Depictions
Religious Symbols,Earth-Based-Religious-Symbols
Religious Symbols,Hindu-Symbols
Religious Symbols,Islamic-Symbols
Religious Symbols,Jewish-Symbols
Religious Symbols,Chai-Hebrew-Symbol
Religious Symbols,Hamsa
Religious Symbols,Menorahs
Religious Symbols,Mezuzahs
Religious Symbols,Star-Of-David
Religious Symbols,Torah
Alphabet Letters,Letter A
Alphabet Letters,Letter B
Alphabet Letters,Letter C
Alphabet Letters,Letter D
Alphabet Letters,Letter E
Alphabet Letters,Letter F
Alphabet Letters,Letter G
Alphabet Letters,Letter H
Alphabet Letters,Letter I
Alphabet Letters,Letter J
Alphabet Letters,Letter K
Alphabet Letters,Letter L
Alphabet Letters,Letter M
Alphabet Letters,Letter N
Alphabet Letters,Letter Ã‘
Alphabet Letters,Letter O
Alphabet Letters,Letter P
Alphabet Letters,Letter Q
Alphabet Letters,Letter R
Alphabet Letters,Letter S
Alphabet Letters,Letter T
Alphabet Letters,Letter U
Alphabet Letters,Letter V
Alphabet Letters,Letter W
Alphabet Letters,Letter X
Alphabet Letters,Letter Y
Alphabet Letters,Letter Z
numbers,0
numbers,1
numbers,2
numbers,3
numbers,4
numbers,5
numbers,6
numbers,7
numbers,8
numbers,9
zodiac-signs,Aquarius
zodiac-signs,Aries
zodiac-signs,Cancer
zodiac-signs,Capricorn
zodiac-signs,Gemini
zodiac-signs,Leo
zodiac-signs,Libra
zodiac-signs,Pisces
zodiac-signs,Sagittarus
zodiac-signs,Scorpio
zodiac-signs,Taurus
zodiac-signs,Virgo
supernatural-beings,Aliens
supernatural-beings,Angels
supernatural-beings,Dragons
supernatural-beings,Ghosts
supernatural-beings,Mermaids
supernatural-beings,Monsters
supernatural-beings,Unicorns
supernatural-beings,Wizards
Flowers,Carnation-Flowers
Flowers,Chrysanthemum-Flowers
Flowers,Daffodil-Flowers
Flowers,Daisy-Flowers
Flowers,Iris-Flowers
Flowers,Lily-Flowers
Flowers,Orchid-Flowers
Flowers,Rose-Flowers
Flowers,Sunflower-Flowers
Flowers,Tulip-Flowers
Flowers,Keyboard Instrument
Flowers,Plant
Flowers,Flower
Musical Instruments,Banjos
Musical Instruments,Cellos
Musical Instruments,Guitars
Musical Instruments,Mandolins
Musical Instruments,Violins
Musical Instruments,Bassoons
Musical Instruments,Clarinets
Musical Instruments,French-Horns
Musical Instruments,Harmonicas
Musical Instruments,Saxophones
Musical Instruments,Trombones
Musical Instruments,Trumpets
Musical Instruments,Tubas
Musical Instruments,Piano
Occasions,Anniversary
Occasions,Birthday
Occasions,Graduation
Occasions,Holiday
Occasions,Christmas
Occasions,Easter
Occasions,Fathers-Day
Occasions,Fourth-Of-July
Occasions,Halloween
Occasions,Hanukkah
Occasions,Kwanzaa
Occasions,Mothers-Day
Occasions,St-Patricks-Day
Occasions,Thanksgiving
Occasions,Valentines-Day
Occasions,Wedding
